"","name","month","day","hour","lat","long","status","category","wind","pressure","ts_diameter","hu_diameter"
"1","Alicia",8,15,12,27.3,-90.5,"tropical depression","-1",30,1009,NA,NA
"2","Alicia",8,15,18,27.2,-91,"tropical storm","0",40,1006,NA,NA
"3","Alicia",8,16,0,27.1,-91.5,"tropical storm","0",45,1005,NA,NA
"4","Alicia",8,16,6,27,-92,"tropical storm","0",50,1004,NA,NA
"5","Alicia",8,16,12,27.1,-92.4,"tropical storm","0",55,1002,NA,NA
"6","Alicia",8,16,18,27.3,-92.8,"tropical storm","0",60,998,NA,NA
"7","Alicia",8,17,0,27.4,-93.3,"hurricane","1",65,991,NA,NA
"8","Alicia",8,17,6,27.7,-93.7,"hurricane","1",70,987,NA,NA
"9","Alicia",8,17,12,27.9,-94.2,"hurricane","1",75,983,NA,NA
"10","Alicia",8,17,18,28.1,-94.5,"hurricane","2",90,974,NA,NA
"11","Alicia",8,18,0,28.4,-94.8,"hurricane","2",95,969,NA,NA
"12","Alicia",8,18,6,28.9,-95,"hurricane","3",100,963,NA,NA
"13","Alicia",8,18,7,29.1,-95.1,"hurricane","3",100,962,NA,NA
"14","Alicia",8,18,12,29.7,-95.5,"hurricane","1",80,965,NA,NA
"15","Alicia",8,18,18,30.5,-96,"tropical storm","0",40,990,NA,NA
"16","Alicia",8,19,0,31.5,-96.7,"tropical storm","0",35,998,NA,NA
"17","Alicia",8,19,6,32.4,-97.4,"tropical depression","-1",30,1003,NA,NA
"18","Alicia",8,19,12,33.3,-98,"tropical depression","-1",25,1006,NA,NA
"19","Alicia",8,19,18,34.4,-98.5,"tropical depression","-1",25,1009,NA,NA
"20","Alicia",8,20,0,35.4,-99,"tropical depression","-1",20,1010,NA,NA
"21","Barry",8,23,18,26,-76,"tropical depression","-1",25,1012,NA,NA
"22","Barry",8,24,0,26.8,-76.2,"tropical depression","-1",30,1011,NA,NA
"23","Barry",8,24,6,27.4,-76.3,"tropical storm","0",40,1010,NA,NA
"24","Barry",8,24,12,28.1,-76.8,"tropical storm","0",50,1011,NA,NA
"25","Barry",8,24,18,28.1,-77.6,"tropical storm","0",50,1011,NA,NA
"26","Barry",8,25,0,28.1,-78.9,"tropical storm","0",45,1011,NA,NA
"27","Barry",8,25,6,28,-79.8,"tropical storm","0",40,1012,NA,NA
"28","Barry",8,25,11,27.9,-80.6,"tropical depression","-1",30,1013,NA,NA
"29","Barry",8,25,12,27.9,-80.8,"tropical depression","-1",30,1013,NA,NA
"30","Barry",8,25,18,27.5,-82,"tropical depression","-1",25,1014,NA,NA
"31","Barry",8,26,0,27,-83.8,"tropical depression","-1",20,1013,NA,NA
"32","Barry",8,26,6,26.3,-85,"tropical depression","-1",25,1013,NA,NA
"33","Barry",8,26,12,25.7,-86.3,"tropical depression","-1",30,1012,NA,NA
"34","Barry",8,26,18,25.2,-87.6,"tropical depression","-1",30,1011,NA,NA
"35","Barry",8,27,0,25.1,-88.9,"tropical depression","-1",30,1010,NA,NA
"36","Barry",8,27,6,25.2,-90.2,"tropical depression","-1",30,1009,NA,NA
"37","Barry",8,27,12,25.8,-91.6,"tropical storm","0",35,1008,NA,NA
"38","Barry",8,27,18,25.8,-93,"tropical storm","0",45,1002,NA,NA
"39","Barry",8,28,0,25.7,-94.5,"tropical storm","0",60,999,NA,NA
"40","Barry",8,28,6,25.5,-95.5,"tropical storm","0",60,998,NA,NA
"41","Barry",8,28,12,25.5,-96.4,"hurricane","1",65,993,NA,NA
"42","Barry",8,28,17,25.4,-97.4,"hurricane","1",70,986,NA,NA
"43","Barry",8,28,18,25.4,-97.5,"hurricane","1",70,986,NA,NA
"44","Barry",8,29,0,25.5,-98.5,"tropical storm","0",40,995,NA,NA
"45","Barry",8,29,6,25.5,-99.5,"tropical depression","-1",30,1005,NA,NA
"46","Barry",8,29,12,25.5,-100.5,"tropical depression","-1",25,1010,NA,NA
"47","Chantal",9,10,12,30.2,-64.4,"tropical depression","-1",25,1010,NA,NA
"48","Chantal",9,10,18,30.9,-64,"tropical depression","-1",30,1008,NA,NA
"49","Chantal",9,11,0,31.6,-63.3,"tropical storm","0",35,1005,NA,NA
"50","Chantal",9,11,6,32,-62.4,"tropical storm","0",45,1000,NA,NA
"51","Chantal",9,11,12,32.4,-61.2,"tropical storm","0",55,996,NA,NA
"52","Chantal",9,11,18,32.8,-60,"hurricane","1",65,994,NA,NA
"53","Chantal",9,12,0,33.1,-58.9,"hurricane","1",65,994,NA,NA
"54","Chantal",9,12,6,33.6,-57.6,"hurricane","1",65,994,NA,NA
"55","Chantal",9,12,12,34,-56.3,"hurricane","1",65,994,NA,NA
"56","Chantal",9,12,18,34.4,-55.5,"hurricane","1",65,994,NA,NA
"57","Chantal",9,13,0,34.8,-54.9,"tropical storm","0",55,1000,NA,NA
"58","Chantal",9,13,6,35.3,-54.5,"tropical storm","0",55,1000,NA,NA
"59","Chantal",9,13,12,35.9,-54.2,"tropical storm","0",45,1005,NA,NA
"60","Chantal",9,13,18,36.3,-53.9,"tropical storm","0",40,1005,NA,NA
"61","Chantal",9,14,0,36.8,-53.8,"tropical storm","0",40,1005,NA,NA
"62","Chantal",9,14,6,37.4,-53.8,"tropical storm","0",40,1006,NA,NA
"63","Chantal",9,14,12,38.7,-53.8,"tropical storm","0",35,1008,NA,NA
"64","Chantal",9,14,18,39.5,-52.5,"tropical storm","0",35,1008,NA,NA
"65","Chantal",9,15,0,40.4,-50.7,"tropical depression","-1",30,1009,NA,NA
"66","Chantal",9,15,6,41.7,-48.8,"tropical depression","-1",30,1009,NA,NA
"67","Dean",9,27,18,30.3,-72.1,"tropical storm","0",40,1000,NA,NA
"68","Dean",9,28,0,31.2,-71.7,"tropical storm","0",45,999,NA,NA
"69","Dean",9,28,6,32.2,-71.1,"tropical storm","0",45,999,NA,NA
"70","Dean",9,28,12,33.1,-70.7,"tropical storm","0",50,1000,NA,NA
"71","Dean",9,28,18,34,-70.7,"tropical storm","0",50,1001,NA,NA
"72","Dean",9,29,0,34.5,-70.8,"tropical storm","0",55,1003,NA,NA
"73","Dean",9,29,6,34.8,-71,"tropical storm","0",55,1005,NA,NA
"74","Dean",9,29,12,35.1,-71.5,"tropical storm","0",55,1006,NA,NA
"75","Dean",9,29,18,35.8,-73,"tropical storm","0",55,1007,NA,NA
"76","Dean",9,30,0,36.4,-74,"tropical storm","0",55,1008,NA,NA
"77","Dean",9,30,6,37,-74.9,"tropical storm","0",55,1009,NA,NA
"78","Dean",9,30,12,37.5,-75.8,"tropical storm","0",40,1010,NA,NA
"79","Dean",9,30,18,37.9,-76.9,"tropical depression","-1",30,1015,NA,NA
