"","name","month","day","hour","lat","long","status","category","wind","pressure","ts_diameter","hu_diameter"
"1","Amelia",7,30,18,25.7,-97,"tropical depression","-1",30,1006,NA,NA
"2","Amelia",7,31,0,26.4,-97.4,"tropical storm","0",45,1005,NA,NA
"3","Amelia",7,31,6,27.2,-97.8,"tropical storm","0",40,1007,NA,NA
"4","Amelia",7,31,12,28,-98.2,"tropical storm","0",35,1008,NA,NA
"5","Amelia",7,31,18,28.6,-98.7,"tropical depression","-1",30,1010,NA,NA
"6","Amelia",8,1,0,29.3,-99.2,"tropical depression","-1",25,1010,NA,NA
"7","Bess",8,5,12,25.3,-90.4,"tropical depression","-1",20,1012,NA,NA
"8","Bess",8,5,18,25.1,-91,"tropical depression","-1",20,1012,NA,NA
"9","Bess",8,6,0,24.8,-91.8,"tropical depression","-1",25,1011,NA,NA
"10","Bess",8,6,6,24.5,-92.5,"tropical depression","-1",30,1010,NA,NA
"11","Bess",8,6,12,24.2,-93.3,"tropical depression","-1",30,1009,NA,NA
"12","Bess",8,6,18,23.9,-94,"tropical storm","0",35,1008,NA,NA
"13","Bess",8,7,0,23.3,-95,"tropical storm","0",40,1007,NA,NA
"14","Bess",8,7,6,22.8,-95.7,"tropical storm","0",40,1006,NA,NA
"15","Bess",8,7,12,22.2,-96.2,"tropical storm","0",40,1005,NA,NA
"16","Bess",8,7,18,21.6,-96.6,"tropical storm","0",45,1006,NA,NA
"17","Bess",8,8,0,21.1,-96.8,"tropical storm","0",45,1007,NA,NA
"18","Bess",8,8,6,20.4,-96.9,"tropical storm","0",40,1008,NA,NA
"19","Bess",8,8,12,20,-97,"tropical depression","-1",25,1010,NA,NA
"20","Cora",8,7,12,13,-35,"tropical depression","-1",25,1010,NA,NA
"21","Cora",8,7,18,13.4,-36.2,"tropical depression","-1",25,1010,NA,NA
"22","Cora",8,8,0,13.8,-37.8,"tropical depression","-1",25,1009,NA,NA
"23","Cora",8,8,6,13.9,-39.6,"tropical depression","-1",30,1008,NA,NA
"24","Cora",8,8,12,14,-41.5,"tropical storm","0",50,1003,NA,NA
"25","Cora",8,8,18,14,-43.2,"hurricane","1",65,990,NA,NA
"26","Cora",8,9,0,14,-44.9,"hurricane","1",80,980,NA,NA
"27","Cora",8,9,6,13.9,-46.8,"hurricane","1",80,980,NA,NA
"28","Cora",8,9,12,13.6,-48.6,"hurricane","1",70,988,NA,NA
"29","Cora",8,9,18,13.2,-50.6,"hurricane","1",65,998,NA,NA
"30","Cora",8,10,0,12.8,-52.8,"tropical storm","0",60,1006,NA,NA
"31","Cora",8,10,6,12.4,-54.8,"tropical storm","0",55,1007,NA,NA
"32","Cora",8,10,12,12.2,-56.8,"tropical storm","0",55,1007,NA,NA
"33","Cora",8,10,18,12.1,-58.8,"tropical storm","0",50,1008,NA,NA
"34","Cora",8,11,0,12,-60.9,"tropical storm","0",45,1008,NA,NA
"35","Cora",8,11,6,12,-62.8,"tropical storm","0",35,1008,NA,NA
"36","Cora",8,11,12,12.1,-64.8,"tropical depression","-1",30,1008,NA,NA
"37","Cora",8,11,18,12.1,-66.8,"tropical depression","-1",30,1009,NA,NA
"38","Cora",8,12,0,12.2,-68.8,"tropical depression","-1",30,1010,NA,NA
"39","Juliet",10,7,18,18,-55.6,"tropical depression","-1",25,1011,NA,NA
"40","Juliet",10,8,0,18.3,-56.6,"tropical depression","-1",30,1010,NA,NA
"41","Juliet",10,8,6,18.6,-57.7,"tropical depression","-1",30,1009,NA,NA
"42","Juliet",10,8,12,18.8,-58.7,"tropical storm","0",35,1008,NA,NA
"43","Juliet",10,8,18,19,-59.8,"tropical storm","0",40,1007,NA,NA
"44","Juliet",10,9,0,19.3,-60.9,"tropical storm","0",45,1006,NA,NA
"45","Juliet",10,9,6,19.7,-62,"tropical storm","0",45,1006,NA,NA
"46","Juliet",10,9,12,19.9,-63,"tropical storm","0",45,1006,NA,NA
"47","Juliet",10,9,18,20.3,-64.2,"tropical storm","0",45,1006,NA,NA
"48","Juliet",10,10,0,20.9,-65.4,"tropical storm","0",45,1006,NA,NA
"49","Juliet",10,10,6,21.7,-67,"tropical storm","0",45,1006,NA,NA
"50","Juliet",10,10,12,22.8,-68.8,"tropical storm","0",45,1006,NA,NA
"51","Juliet",10,10,18,24.3,-70.1,"tropical storm","0",45,1006,NA,NA
"52","Juliet",10,11,0,26.2,-70.9,"tropical storm","0",45,1006,NA,NA
"53","Juliet",10,11,6,28.3,-71,"tropical storm","0",40,1006,NA,NA
"54","Juliet",10,11,12,30.2,-69.9,"tropical storm","0",35,1006,NA,NA
