"","name","month","day","hour","lat","long","status","category","wind","pressure","ts_diameter","hu_diameter"
"1","Ana",7,2,18,31.3,-79.7,"tropical depression","-1",25,1012,NA,NA
"2","Ana",7,3,0,31.5,-79,"tropical depression","-1",25,1011,NA,NA
"3","Ana",7,3,6,32.5,-77.4,"tropical depression","-1",25,1010,NA,NA
"4","Ana",7,3,12,33.9,-75.4,"tropical depression","-1",30,1008,NA,NA
"5","Ana",7,3,18,35.2,-73.4,"tropical depression","-1",30,1006,NA,NA
"6","Ana",7,4,0,36.2,-70.7,"tropical storm","0",40,1003,NA,NA
"7","Ana",7,4,6,37.1,-67.8,"tropical storm","0",45,1002,NA,NA
"8","Ana",7,4,12,37.6,-64.7,"tropical storm","0",45,1001,NA,NA
"9","Ana",7,4,18,37.9,-61.1,"tropical storm","0",45,1000,NA,NA
"10","Ana",7,5,0,38,-57.5,"tropical storm","0",45,1001,NA,NA
"11","Ana",7,5,6,37.5,-54.2,"tropical storm","0",40,1003,NA,NA
"12","Ana",7,5,12,37,-50.7,"tropical storm","0",35,1005,NA,NA
"13","Bob",8,16,0,25.6,-74.3,"tropical depression","-1",25,1014,NA,NA
"14","Bob",8,16,6,25.7,-74.9,"tropical depression","-1",25,1012,NA,NA
"15","Bob",8,16,12,25.9,-75.4,"tropical depression","-1",30,1010,NA,NA
"16","Bob",8,16,18,26.4,-75.8,"tropical storm","0",35,1005,NA,NA
"17","Bob",8,17,0,27.1,-76.2,"tropical storm","0",40,1003,NA,NA
"18","Bob",8,17,6,27.8,-76.5,"tropical storm","0",45,998,NA,NA
"19","Bob",8,17,12,28.4,-76.9,"tropical storm","0",55,996,NA,NA
"20","Bob",8,17,18,29,-77.1,"hurricane","1",65,986,NA,NA
"21","Bob",8,18,0,29.7,-77,"hurricane","1",70,980,NA,NA
"22","Bob",8,18,6,30.5,-76.9,"hurricane","1",75,979,NA,NA
"23","Bob",8,18,12,31.5,-76.6,"hurricane","1",80,974,NA,NA
"24","Bob",8,18,18,33,-76.1,"hurricane","2",85,965,NA,NA
"25","Bob",8,19,0,34.6,-75.3,"hurricane","2",95,957,NA,NA
